doc_id,token,token_order,lemma,ent_type,tag,dep,pos,is_stop,is_alpha,is_digit,is_punct
0,U.S.,0,U.S.,GPE,NNP,compound,PROPN,False,False,False,False
0,stocks,1,stock,,NNS,nsubj,NOUN,False,True,False,False
0,closed,2,close,,VBD,ROOT,VERB,False,True,False,False
0,mixed,3,mixed,,JJ,acomp,ADJ,False,True,False,False
0,after,4,after,,IN,prep,ADP,True,True,False,False
0,fluctuating,5,fluctuate,,VBG,pcomp,VERB,False,True,False,False
0,between,6,between,,IN,prep,ADP,True,True,False,False
0,gains,7,gain,,NNS,pobj,NOUN,False,True,False,False
0,and,8,and,,CC,cc,CCONJ,True,True,False,False
0,losses,9,loss,,NNS,conj,NOUN,False,True,False,False
0,Tuesday,10,Tuesday,DATE,NNP,npadvmod,PROPN,False,True,False,False
0,",",11,",",,",",punct,PUNCT,False,False,False,True
0,as,12,as,,IN,mark,SCONJ,True,True,False,False
0,Federal,13,Federal,ORG,NNP,compound,PROPN,False,True,False,False
0,Reserve,14,Reserve,ORG,NNP,compound,PROPN,False,True,False,False
0,Chair,15,Chair,,NNP,compound,PROPN,False,True,False,False
0,Janet,16,Janet,PERSON,NNP,compound,PROPN,False,True,False,False
0,Yellen,17,Yellen,PERSON,NNP,nsubj,PROPN,False,True,False,False
0,in,18,in,,IN,prep,ADP,True,True,False,False
0,her,19,her,,PRP$,poss,PRON,True,True,False,False
0,testimony,20,testimony,,NN,pobj,NOUN,False,True,False,False
0,to,21,to,,IN,prep,ADP,True,True,False,False
0,Congress,22,Congress,ORG,NNP,pobj,PROPN,False,True,False,False
0,said,23,say,,VBD,advcl,VERB,False,True,False,False
0,stocks,24,stock,,NNS,nsubj,NOUN,False,True,False,False
0,in,25,in,,IN,prep,ADP,True,True,False,False
0,some,26,some,,DT,det,DET,True,True,False,False
0,sectors,27,sector,,NNS,pobj,NOUN,False,True,False,False
0,appear,28,appear,,VBP,auxpass,AUX,False,True,False,False
0,stretched,29,stretch,,VBN,ccomp,VERB,False,True,False,False
0,.,30,.,,.,punct,PUNCT,False,False,False,True
1, ,0, ,,_SP,dep,SPACE,False,False,False,False
1,The,1,the,,DT,det,DET,True,True,False,False
1,Dow,2,Dow,,NNP,compound,PROPN,False,True,False,False
1,Jones,3,Jones,,NNP,compound,PROPN,False,True,False,False
1,Industrial,4,Industrial,,NNP,compound,PROPN,False,True,False,False
1,Average,5,Average,,NNP,nsubj,PROPN,False,True,False,False
1,closed,6,close,,VBD,ROOT,VERB,False,True,False,False
1,at,7,at,,IN,prep,ADP,True,True,False,False
1,"17,060.68",8,"17,060.68",CARDINAL,NNP,compound,PROPN,False,False,False,False
1,points,9,point,,NNS,pobj,NOUN,False,True,False,False
1,",",10,",",,",",punct,PUNCT,False,False,False,True
1,up,11,up,,RB,advmod,ADV,True,True,False,False
1,5.26,12,5.26,CARDINAL,CD,nummod,NUM,False,False,False,False
1,points,13,point,,NNS,npadvmod,NOUN,False,True,False,False
1,",",14,",",,",",punct,PUNCT,False,False,False,True
1,or,15,or,,CC,cc,CCONJ,True,True,False,False
1,0.03,16,0.03,PERCENT,CD,nummod,NUM,False,False,False,False
1,percent,17,percent,PERCENT,NN,conj,NOUN,False,True,False,False
1,",",18,",",,",",punct,PUNCT,False,False,False,True
1,after,19,after,,IN,prep,ADP,True,True,False,False
1,briefly,20,briefly,,RB,advmod,ADV,False,True,False,False
1,hitting,21,hit,,VBG,pcomp,VERB,False,True,False,False
1,an,22,an,,DT,det,DET,True,True,False,False
